,CODEX,SEX,CPF,ANY,SELE,CPE
105,259148,H,08320,2012,11.966,8320.0
106,260971,H,43005,2012,11.564,43007.0
107,260569,H,08700,2012,11.677999999999999,8719.0
108,261591,H,08904,2012,10.978,8950.0
109,259401,H,08640,2012,10.828,8640.0
110,261169,H,08172,2012,13.04,8017.0
111,261170,H,08023,2012,10.866,8034.0
112,262075,H,08030,2012,11.395999999999999,8030.0
113,261897,H,08017,2012,11.952,8017.0
114,261942,D,08700,2012,12.196,8700.0
115,261301,H,43002,2012,11.354000000000001,43003.0
116,261367,H,08530,2012,12.142000000000001,8530.0
117,261231,H,43700,2012,12.58,8770.0
118,261872,H,08460,2012,10.624,8460.0
119,261150,D,08221,2012,10.978,8021.0
120,261273,H,08031,2012,10.745999999999999,8032.0
122,260465,H,08021,2012,12.796,8017.0
123,264620,H,25700,2012,10.382,8022.0
124,265302,H,08755,2012,11.288,8755.0
125,264800,H,08027,2012,10.39,8027.0
126,264805,H,08940,2012,10.774000000000001,8017.0
127,264542,H,08904,2012,12.022,8850.0
128,258865,H,08859,2012,12.54,8850.0
129,258885,H,08035,2012,10.77,8035.0
130,259585,H,08035,2012,12.162,8034.0
131,258599,H,08924,2012,10.562000000000001,8924.0
132,258605,H,25199,2012,11.302,25111.0
133,260071,D,07190,2012,10.802,
134,259998,D,08006,2012,11.338,8034.0
135,260006,H,08025,2012,10.825999999999999,8025.0
136,258824,D,08291,2012,11.725999999999999,8291.0
137,259652,H,08490,2012,11.597999999999999,8380.0
138,258888,D,07820,2012,13.276,8017.0
139,260402,H,08012,2012,12.418,8006.0
140,258944,H,07703,2012,10.484000000000002,
141,259480,D,08034,2012,10.892000000000001,8022.0
142,259487,H,08700,2012,10.53,8700.0
143,258627,H,08005,2012,11.152000000000001,8916.0
144,260673,H,08391,2012,11.282,8390.0
145,258836,H,08023,2012,10.558,8034.0
146,258957,H,08870,2012,10.685,
147,260200,H,08820,2012,10.98,8023.0
148,275012,H,08025,2013,13.386,8034.0
149,274906,H,08790,2013,11.032,8022.0
150,265060,H,08340,2012,10.384,8302.0
151,269763,D,08021,2011,9.736,
152,269770,H,08830,2010,11.458,8830.0
153,264997,H,16200,2012,11.468,
156,276673,H,08027,2013,10.054,8030.0
157,275267,H,43716,2013,13.092,43700.0
158,276713,D,08503,2013,11.374,8500.0
160,275968,H,08430,2013,10.542,8400.0
161,275652,H,08640,2013,9.962,8640.0
162,275297,H,08038,2013,10.17,8004.0
163,275397,H,46780,2013,11.18,
164,276949,H,08025,2013,11.345999999999998,8009.0
165,276951,H,25003,2013,11.022,25002.0
166,276491,H,17002,2013,11.116,17005.0
167,275080,D,08012,2013,11.686,8034.0
168,275060,H,08011,2013,10.424000000000001,8034.0
169,274958,H,08015,2013,10.752,8034.0
170,276146,H,08500,2013,12.85,8500.0
171,275023,H,08032,2012,11.59,8034.0
172,274965,H,43870,2013,12.07,43870.0
174,273880,H,08711,2013,9.514,8700.0
175,274308,D,08021,2013,11.66,8021.0
176,274825,H,08020,2013,10.22,8027.0
177,273958,H,25006,2013,12.186,25003.0
178,274159,D,25700,2013,12.308,25700.0
179,274172,H,08796,2013,12.668,8770.0
180,273970,H,08796,2013,10.466,8770.0
181,280215,H,08027,2013,11.985999999999999,8030.0
182,277854,D,25300,2013,11.104000000000001,25300.0
183,277884,H,08450,2013,10.166,8440.0
184,277051,H,08560,2013,9.946,8560.0
185,276304,H,08403,2013,9.93,8401.0
186,276397,H,08640,2013,11.212,8640.0
187,276442,H,08023,2013,11.92,8017.0
188,276260,H,08870,2013,12.45,
189,276292,H,08011,2013,10.62,8010.0
190,278138,H,08019,2013,9.93,8007.0
191,278286,H,08402,2013,10.71,8401.0
192,277339,H,08290,2013,11.585999999999999,8290.0
193,277512,H,25740,2013,10.27,25740.0
194,277913,H,08450,2013,10.444,8520.0
195,277021,H,43870,2013,11.198,43870.0
196,279025,H,08401,2013,11.972000000000001,8440.0
197,279047,H,08914,2013,11.834000000000001,8911.0
198,277288,H,43203,2013,11.856,43206.0
199,278971,H,08330,2013,11.126,8330.0
200,277630,H,08540,2013,11.344000000000001,8540.0
201,278194,H,08174,2013,11.69,8173.0
202,278214,H,08756,2013,11.558,8757.0
203,276968,H,17002,2013,12.552,17002.0
205,277493,H,08022,2013,11.788,8034.0
206,292917,H,08173,2014,12.41,
207,292926,H,08025,2014,12.06,8032.0
208,292931,H,08014,2014,10.512,8014.0
209,289280,H,08021,2014,10.452,8034.0
210,289283,H,08172,2014,10.895999999999999,8173.0
211,289286,H,08690,2014,12.765999999999998,8034.0
212,289290,H,08008,2014,12.31,
213,289293,H,08029,2014,12.02,8034.0
214,289302,H,08015,2014,11.13,8034.0
215,289303,H,43001,2014,10.776,43003.0
216,289245,H,08025,2014,10.558,8017.0
217,289249,H,07350,2014,11.106,
218,289154,H,08197,2014,10.03,
219,289159,H,08470,2014,9.828,8470.0
220,289161,H,22500,2014,9.39,25111.0
221,289255,D,08022,2014,12.274000000000001,8022.0
222,289260,D,17003,2014,10.002,17002.0
223,289322,H,08010,2014,11.144,8010.0
224,289334,H,08017,2014,11.372,8034.0
225,288983,H,08017,2014,9.882,8174.0
226,289003,H,43001,2014,11.23,43120.0
227,289179,H,08034,2014,9.732000000000001,8017.0
228,289181,D,08023,2014,12.668,8022.0
229,289187,H,08025,2014,11.036,8032.0
230,289194,H,08302,2014,11.79,8303.0
231,289100,H,08870,2014,11.845999999999998,8870.0
232,289101,H,25004,2014,12.224,25008.0
233,289022,H,07190,2014,11.954,
234,289028,H,08183,2014,11.788,8036.0
235,289127,H,08980,2014,9.904,8980.0
236,289036,H,08014,2014,9.886000000000001,8014.0
237,289401,H,08022,2014,9.576,8023.0
238,289410,H,25005,2014,12.512,25008.0
239,289212,H,25110,2014,10.498,25111.0
240,289220,H,08037,2014,13.3,
241,289227,H,08013,2014,12.074000000000002,8009.0
242,289241,H,08023,2014,9.863999999999999,8017.0
243,289060,H,07141,2014,12.126,
244,289068,H,43500,2014,11.484000000000002,43500.0
245,289087,H,08015,2014,10.924000000000001,8015.0
246,289378,H,43500,2014,12.505999999999998,43500.0
247,289096,H,08348,2014,9.71,8301.0
248,289268,H,08037,2014,11.075999999999999,8034.0
249,289270,H,08010,2014,12.08,
250,289364,H,08016,2014,11.124,8016.0
251,289206,H,08028,2014,9.492,8034.0
252,288966,H,08195,2014,10.992,8017.0
253,288975,H,17003,2014,9.526,17004.0
254,288976,H,08173,2014,11.744000000000002,8034.0
255,288978,H,08028,2014,13.21,8014.0
256,289391,H,08041,2014,9.572000000000001,8034.0
257,289210,D,07011,2014,12.064,
258,289040,H,08290,2014,10.515999999999998,8006.0
259,289042,H,08906,2014,9.472000000000001,8901.0
260,294149,H,08021,2014,11.005999999999998,8173.0
261,304052,H,08400,2015,11.694,8400.0
262,304328,H,08015,2015,12.582,8010.0
263,304333,H,08340,2015,12.927999999999999,8340.0
264,304159,H,08013,2015,9.906,8026.0
265,304162,H,08013,2015,11.424000000000001,
266,304163,H,08009,2015,10.624,8010.0
267,304306,H,08023,2015,11.874,8034.0
268,304308,H,08029,2015,11.744000000000002,8017.0
269,304316,H,08002,2015,9.722000000000001,8023.0
270,304030,H,08840,2015,9.91,8850.0
271,304032,H,08970,2015,10.718,8173.0
272,304045,H,08500,2015,10.975999999999999,8500.0
273,304060,H,08018,2015,11.492,8027.0
274,304062,H,08260,2015,10.334000000000001,8260.0
275,304247,H,35423,2015,13.353,
276,304253,H,43007,2015,12.806,43005.0
277,304257,H,08290,2015,10.046,8290.0
278,304262,H,08940,2015,11.286,8970.0
279,304277,D,17480,2015,10.628,17480.0
280,304340,D,08017,2015,13.7,8034.0
281,304344,H,08172,2015,10.886,8017.0
282,304347,D,17600,2015,13.14,17600.0
283,304349,D,08037,2015,10.854000000000001,8010.0
284,304075,H,08800,2015,9.704,8800.0
285,304082,H,08370,2015,11.966,8370.0
286,304173,H,08917,2015,12.118,8912.0
287,304187,H,08739,2015,13.76,8770.0
288,304189,H,08006,2015,10.622,8006.0
289,304192,H,08029,2015,12.364,8029.0
290,304362,H,08903,2015,10.306,8014.0
291,304363,H,08190,2015,9.857999999999999,8174.0
292,304369,H,08172,2015,9.836,8034.0
293,304197,H,08520,2015,10.038,8440.0
295,304380,H,08034,2015,9.868,8034.0
296,304112,H,08013,2015,12.876,8006.0
297,304115,H,08023,2015,11.5,8032.0
298,304205,H,08208,2015,10.368,8201.0
299,304214,H,08034,2015,11.322000000000001,8034.0
300,304383,H,25240,2015,11.618,25337.0
301,304389,H,08755,2015,11.534,8173.0
302,304138,D,03530,2015,10.788,
303,304149,H,43800,2015,10.514000000000001,43800.0
304,304152,H,08028,2015,11.495999999999999,8014.0
305,303963,D,08430,2015,12.526,8430.0
306,303971,H,08036,2012,9.98,8017.0
307,303973,H,08005,2015,10.634,8010.0
308,303977,H,08028,2015,12.19,8028.0
309,303978,D,08130,2015,11.74,8130.0
310,303979,H,08030,2015,10.554,8030.0
311,303992,H,08024,2015,10.542,8023.0
312,304006,H,08028,2015,13.335999999999999,8022.0
313,304008,H,08042,2015,9.792,8030.0
314,309128,H,08028,2015,10.648,8034.0
315,308041,H,08173,2015,10.324000000000002,8173.0
316,308043,H,17300,2015,10.644,17300.0
317,308052,H,08017,2015,9.64,8017.0
318,230662,H,08193,2010,10.036,8174.0
319,230686,H,43005,2010,11.4,43005.0
320,231048,H,07013,2010,10.802,
321,230992,H,08914,2010,11.665999999999999,8912.0
322,229830,H,08328,2010,10.198,8021.0
323,227947,H,08303,2010,10.49,8303.0
324,227956,H,08028,2010,11.636,8029.0
325,229096,D,08940,2010,10.39,8901.0
326,226495,D,08011,2010,10.47,8007.0
327,227207,H,08034,2010,11.2,8034.0
328,227284,H,08041,2010,10.052,8041.0
329,229972,D,08700,2010,10.574000000000002,8700.0
330,228045,D,17003,2010,10.11,17003.0
331,227132,H,08034,2010,10.398,8022.0
332,229520,H,08195,2010,10.672,8035.0
333,226441,H,08840,2010,9.852,8034.0
334,228210,D,25740,2010,11.08,25740.0
335,227828,D,08038,2010,11.032,8902.0
336,227012,H,08011,2010,11.202,8009.0
337,228061,H,08021,2010,11.742,8034.0
338,226798,D,08860,2010,10.798,8850.0
339,227855,H,08022,2010,12.242,8173.0
340,227856,H,08017,2010,9.896,8173.0
341,228998,H,08004,2010,10.45,
342,227935,D,17007,2010,12.774000000000001,17004.0
343,227032,H,08021,2010,10.905999999999999,8017.0
344,228242,D,08020,2010,11.63,8980.0
345,227877,H,17003,2010,12.262,17005.0
346,227057,H,08018,2010,10.604000000000001,8009.0
347,230248,D,43005,2010,11.36,43005.0
348,226635,H,08902,2010,10.96,8902.0
349,227742,D,08021,2010,9.892000000000001,8022.0
350,228532,H,43203,2010,11.38,43120.0
351,227602,D,08036,2010,13.062000000000001,8029.0
352,228375,H,08820,2010,9.783999999999999,8950.0
353,227607,H,08796,2010,10.434000000000001,8029.0
354,228573,H,08034,2010,11.097999999999999,8173.0
355,228576,H,08620,2010,10.328,8620.0
356,228704,H,43500,2010,11.328,43500.0
357,228599,H,08034,2010,11.276,8034.0
358,228601,D,08036,2010,11.58,8034.0
359,227700,H,08009,2010,12.306,8010.0
360,243205,H,08025,2011,12.66,
361,227231,H,08025,2010,11.378,8025.0
362,228126,H,08980,2010,10.915999999999999,8980.0
363,227073,H,08197,2010,9.882,8022.0
364,227087,H,08402,2010,11.76,8402.0
365,227091,H,08905,2010,10.1,8034.0
366,229148,H,08030,2010,10.434000000000001,8027.0
367,243374,D,08022,2010,10.762,8034.0
368,246312,H,08840,2011,10.54,8840.0
369,244483,D,08700,2011,11.298,8719.0
370,245764,H,08028,2011,9.98,8017.0
371,245777,H,08021,2011,10.086,8009.0
372,243666,H,08860,2011,11.592,8034.0
373,245190,D,08017,2011,12.075999999999999,8006.0
374,244208,D,43007,2011,10.706,43003.0
375,245121,D,08017,2011,11.81,8022.0
376,244342,D,43007,2011,12.542,43110.0
377,243737,D,08017,2011,13.585,
378,245810,H,08506,2011,11.4,8500.0
379,245168,H,08021,2011,11.56,8022.0
380,244457,H,08717,2011,11.498,25200.0
381,245004,H,08700,2011,11.267999999999999,8719.0
382,243546,H,08034,2011,12.743,
383,244329,D,08776,2011,12.252,8770.0
384,232393,H,08017,2010,9.714,8017.0
385,232335,H,07760,2010,9.687999999999999,
386,246519,H,08850,2010,9.886000000000001,8850.0
387,246265,H,08370,2011,12.648,8370.0
388,244753,H,08027,2011,11.004000000000001,8041.0
389,245505,D,08021,2011,12.515999999999998,8034.0
390,245509,H,08029,2011,10.87,8029.0
391,244852,H,08034,2011,11.664000000000001,8021.0
392,245359,H,08022,2011,10.347999999999999,8034.0
393,244663,H,25196,2011,10.708,25002.0
394,245373,D,08022,2011,11.782,8022.0
395,245375,H,08030,2011,12.11,8030.0
396,243985,H,08912,2011,10.074,8912.0
397,244517,H,08038,2011,9.948,8902.0
398,244698,H,08173,2011,10.616,8021.0
399,245443,H,08030,2011,11.118,8030.0
400,245677,D,08172,2011,11.937999999999999,8034.0
401,244758,H,17134,2011,10.13,17257.0
402,244113,H,17003,2011,10.485999999999999,17002.0
403,245556,D,08173,2011,10.725999999999999,8010.0
404,245619,H,08028,2011,11.838,8014.0
405,245620,D,08014,2011,10.374,8014.0
406,245954,H,08960,2011,11.2,8960.0
407,247055,H,07194,2011,11.065999999999999,
408,247070,H,08922,2010,10.825999999999999,8030.0
409,252422,H,08027,2011,9.6,8027.0
410,252430,H,17534,2011,9.582,17500.0
411,261696,H,08028,2012,12.25,8028.0
412,261703,H,08028,2012,10.534,8014.0
413,248661,H,07240,2011,10.648,
414,261726,H,08860,2012,10.91,8860.0
415,248722,H,08110,2011,10.659,
416,248338,H,08017,2011,9.78,8017.0
418,250031,H,08620,2011,9.622,8620.0
419,248426,H,08006,2011,11.818,8034.0
420,259116,H,08401,2012,11.21,8440.0
421,259117,H,08459,2012,11.245999999999999,8440.0
422,260496,H,08820,2012,11.614,8034.0
423,258290,H,08028,2012,10.825999999999999,8034.0
424,260930,H,08037,2012,11.542,8021.0
425,259877,H,08035,2012,11.557,
426,261523,H,08849,2012,11.34,8840.0
427,259899,H,08022,2012,10.49,8173.0
428,260988,H,08027,2012,12.4,8027.0
429,258318,H,08750,2012,10.812000000000001,8750.0
430,258320,H,08018,2012,10.546,8010.0
431,259188,D,17001,2012,11.725999999999999,17006.0
432,261575,H,08025,2012,10.544,
433,261577,H,08014,2012,12.686,8021.0
434,259951,H,08540,2012,10.758,8540.0
435,262081,H,08005,2012,10.975999999999999,8005.0
436,261327,H,08027,2012,10.538,8027.0
437,261345,H,08398,2012,12.376,8370.0
438,261443,H,08980,2012,10.69,8980.0
439,261446,D,08014,2012,12.165999999999999,8029.0
440,261848,H,08850,2012,11.72,8850.0
441,261228,H,08027,2011,10.698,8027.0
442,261239,H,08030,2012,12.798,8030.0
443,264795,H,08401,2012,10.434000000000001,8400.0
444,264437,D,17003,2012,10.38,17003.0
445,260807,H,25006,2012,11.74,25193.0
446,259638,H,08005,2012,10.842,8005.0
447,260299,D,08290,2011,12.164000000000001,8013.0
448,259528,H,08021,2012,12.682,8034.0
449,260427,H,08720,2012,10.687999999999999,8720.0
450,260127,H,08770,2012,11.444,8770.0
451,259470,H,08018,2012,11.277999999999999,8009.0
452,259477,H,08460,2012,11.942,8460.0
453,258642,D,08172,2012,11.584000000000001,8193.0
454,260248,D,08392,2012,12.218,8392.0
455,263937,H,08190,2012,10.424000000000001,8034.0
456,260698,H,08185,2012,11.405999999999999,8181.0
457,260194,H,08173,2012,10.878,8021.0
458,275032,D,08197,2013,10.446,8006.0
459,262923,H,08035,2012,12.18,8031.0
460,262945,H,08800,2012,12.796,8800.0
461,274260,H,08021,2013,12.484000000000002,8173.0
462,263085,H,43881,2012,10.58,8770.0
463,274894,H,08172,2013,11.687999999999999,8034.0
464,274184,H,08184,2013,10.585999999999999,8140.0
465,274187,H,08034,2013,10.475999999999999,8034.0
466,262851,H,25124,2012,11.107999999999999,25196.0
468,262744,D,08302,2012,11.154000000000002,8303.0
469,262798,H,08005,2012,11.815999999999999,8005.0
470,276769,H,08027,2011,10.798,8026.0
471,276529,D,38201,2013,10.683,
472,276674,H,08031,2013,10.054,8031.0
473,276729,D,08011,2013,12.44,8034.0
474,275979,H,08206,2013,9.994,8206.0
475,276921,D,08904,2013,10.595999999999998,8907.0
476,276930,H,43800,2013,11.806,43800.0
477,275202,H,25222,2013,11.415999999999999,25230.0
478,275206,H,25790,2013,11.946,25280.0
479,274649,H,08185,2013,10.645999999999999,8100.0
480,275082,H,08034,2013,11.554,8034.0
481,275107,D,08700,2013,12.944,8700.0
482,276814,H,08242,2013,10.94,8241.0
483,275027,H,08401,2013,12.765999999999998,8401.0
484,275884,D,08348,2013,10.254000000000001,8301.0
485,273905,D,08028,2013,13.424000000000001,8021.0
486,274275,D,43205,2013,10.484000000000002,43205.0
487,273938,D,08205,2013,12.347999999999999,8193.0
488,274298,H,08037,2013,12.578,8023.0
489,274124,H,08029,2012,10.588,8036.0
490,275486,H,43878,2013,11.272,43570.0
491,274513,H,08198,2013,10.206,8021.0
492,276867,H,08009,2013,10.504000000000001,8035.0
494,277375,H,08029,2013,13.427999999999999,8034.0
495,277741,D,08370,2013,12.24,8370.0
496,277758,D,08811,2013,10.345999999999998,8800.0
497,277061,H,08038,2013,11.0,8009.0
498,275174,D,08172,2013,12.77,8017.0
499,276290,H,07181,2013,10.437999999999999,
500,278260,H,08022,2013,12.398,8022.0
501,277981,H,08173,2013,11.058,8034.0
502,278275,H,08022,2013,10.645999999999999,8022.0
503,278287,H,08017,2013,12.946,8017.0
504,278004,D,08017,2013,11.314,8035.0
505,277345,D,07181,2013,10.825999999999999,
506,277238,H,17230,2013,11.19,17230.0
507,277163,H,08017,2013,11.975999999999999,8022.0
508,277667,D,08480,2011,11.132,8480.0
509,278052,D,43005,2013,10.604000000000001,43005.0
510,279040,H,08006,2013,10.104,8034.0
511,277707,H,43870,2013,10.86,43870.0
512,277934,H,08402,2013,10.944,8520.0
513,277547,H,08025,2013,12.27,8025.0
514,277824,D,08022,2013,11.594000000000001,8034.0
515,279337,H,08759,2013,9.978,8759.0
516,277658,D,08028,2013,10.686,8034.0
517,292909,D,08006,2014,12.735999999999999,8034.0
518,292914,H,08912,2014,9.96,8912.0
519,292930,H,43391,2014,9.937999999999999,43850.0
520,292935,H,08014,2014,9.874,8028.0
521,289413,H,25008,2014,9.906,25008.0
522,289414,H,08023,2014,10.556,8034.0
523,289418,D,08013,2014,12.918,8010.0
524,289420,H,08820,2014,10.864,8820.0
525,289281,H,36203,2014,10.934000000000001,
526,289284,D,08023,2014,10.968,8022.0
527,289285,D,08032,2014,11.422,8017.0
528,289299,D,08005,2014,11.832,8009.0
529,289308,H,08017,2014,9.794,8022.0
530,289153,H,08026,2014,12.328,8022.0
531,289155,H,08006,2014,11.686,8034.0
532,289261,H,08970,2014,11.277999999999999,8970.0
533,289311,H,08001,2014,12.485999999999999,8001.0
534,289320,H,08015,2014,12.07,8006.0
535,289325,H,08021,2014,11.09,8021.0
536,289192,D,43006,2014,10.404000000000002,43003.0
538,289199,H,08860,2014,12.078,8850.0
539,289098,D,08461,2014,12.258,8440.0
540,289017,D,08970,2014,10.11,8950.0
541,289108,H,08506,2014,11.758,8500.0
542,289116,H,07181,2014,10.594000000000001,
543,289031,H,99999,2014,11.35,
544,289038,H,08021,2014,10.968,8034.0
545,289408,H,08006,2014,11.722000000000001,8021.0
546,289135,D,08036,2014,11.352,8036.0
547,289137,H,08022,2014,11.184000000000001,8017.0
548,289138,H,08028,2014,12.43,8034.0
549,289139,D,08017,2014,11.056,8022.0
550,289052,D,08756,2013,10.21,8757.0
551,289219,D,08034,2014,10.384,8017.0
552,289226,H,08008,2014,10.158,8008.0
553,289230,H,08013,2013,10.517999999999999,8009.0
554,289239,H,08571,2014,12.302,8570.0
555,289057,H,08901,2014,9.95,8907.0
556,289059,H,17176,2014,9.874,17800.0
557,289070,H,08029,2014,9.748,8017.0
558,289071,H,08029,2014,10.088,8029.0
559,289080,H,08901,2012,9.38,8950.0
560,289083,H,08740,2014,11.42,8740.0
561,289092,H,08021,2014,10.588,8006.0
562,289267,H,25400,2014,13.005999999999998,25400.0
563,288959,H,08034,2014,12.62,
564,289338,D,08017,2014,10.578,8017.0
565,289348,H,08911,2014,10.972000000000001,8912.0
566,289350,H,08770,2014,12.032,8770.0
567,289352,H,08034,2014,10.38,8034.0
569,289357,H,08016,2014,10.338,8030.0
570,289365,H,08021,2014,11.0,17005.0
571,289383,H,08006,2014,13.286,8006.0
572,289384,D,08006,2014,9.86,8022.0
573,289387,H,17005,2014,12.872,17006.0
574,289390,H,07013,2014,9.44,
575,289397,D,08197,2014,12.118,8022.0
576,289400,H,08330,2014,9.522,8330.0
577,289041,D,07010,2014,11.636,
578,294143,H,08028,2014,9.59,8034.0
579,294157,H,25003,2014,10.062000000000001,25002.0
580,304053,D,08840,2015,11.162,8840.0
581,304054,H,08026,2015,10.232000000000001,8021.0
582,304326,H,08303,2013,12.427999999999999,8303.0
583,304334,D,08041,2015,9.682,8041.0
584,304165,H,08002,2015,9.692,8028.0
585,304282,D,08017,2015,10.331,
586,304283,H,08690,2015,9.744,8950.0
587,304017,H,43205,2015,10.174,43205.0
588,304018,H,08340,2015,10.492,8340.0
589,304293,H,08017,2015,12.329,
590,304294,H,08025,2015,10.182,8025.0
591,304296,H,08017,2015,10.734000000000002,8017.0
592,304298,D,08029,2015,11.048,8029.0
593,304299,H,08173,2015,10.645999999999999,8021.0
594,304301,H,08520,2015,10.176,8530.0
595,304309,H,08960,2015,10.42,8034.0
596,304310,D,08395,2015,11.048,8370.0
597,304313,D,08870,2015,10.122,8017.0
598,304319,H,08021,2015,9.792,8022.0
599,304323,H,08034,2015,11.152000000000001,8034.0
600,304023,D,17005,2015,11.104000000000001,17006.0
601,304026,H,08020,2015,11.81,8009.0
603,304041,H,08034,2015,10.362,8017.0
604,304043,H,07400,2015,10.187999999999999,
605,304068,H,08024,2015,13.177999999999999,8034.0
606,304242,H,08034,2015,9.898,8034.0
607,304255,D,08029,2015,10.994000000000002,8017.0
608,304258,D,08029,2015,11.092,8017.0
609,304264,H,08820,2015,11.175999999999998,8820.0
610,304270,H,08690,2015,9.84,8901.0
611,304275,H,17300,2015,9.898,17300.0
612,304276,D,08850,2015,9.693999999999999,8850.0
613,304342,H,08006,2015,12.054,8017.0
614,304345,H,08130,2015,9.767999999999999,8130.0
615,304350,H,08027,2015,10.6,8027.0
616,304352,H,08005,2015,10.532,8027.0
617,304356,H,08776,2015,12.338,8770.0
618,304361,H,08918,2015,10.677999999999999,8930.0
619,304072,H,08017,2014,12.354000000000001,8022.0
620,304097,H,08906,2015,10.784,8006.0
621,304099,H,08830,2015,12.324000000000002,8830.0
622,304101,H,08035,2015,10.322000000000001,8035.0
623,304170,H,08940,2015,11.37,8970.0
624,304174,H,08700,2015,11.44,8719.0
625,304179,H,08021,2015,9.926,8034.0
