CODEX,SEX,CPF,ANY,SELE,CPE
289364,H,08016,2014,11.124,08016
289206,H,08028,2014,9.492,08034
288966,H,08195,2014,10.992,08017
288975,H,17003,2014,9.526,17004
288976,H,08173,2014,11.744,08034
288978,H,08028,2014,13.21,08014
289391,H,08041,2014,9.572,08034
289210,D,07011,2014,12.064,
289040,H,08290,2014,10.516,08006
289042,H,08906,2014,9.472,08901
294149,H,08021,2014,11.006,08173
304052,H,08400,2015,11.694,08400
304328,H,08015,2015,12.582,08010
304333,H,08340,2015,12.928,08340
304159,H,08013,2015,9.906,08026
304162,H,08013,2015,11.424,
304163,H,08009,2015,10.624,08010
304306,H,08023,2015,11.874,08034
304308,H,08029,2015,11.744,08017
304316,H,08002,2015,9.722,08023
304030,H,08840,2015,9.91,08850
304032,H,08970,2015,10.718,08173
304045,H,08500,2015,10.976,08500
304060,H,08018,2015,11.492,08027
304062,H,08260,2015,10.334,08260
304247,H,35423,2015,13.353,
304253,H,43007,2015,12.806,43005
304257,H,08290,2015,10.046,08290
304262,H,08940,2015,11.286,08970
304277,D,17480,2015,10.628,17480
304340,D,08017,2015,13.7,08034
304344,H,08172,2015,10.886,08017
304347,D,17600,2015,13.14,17600
304349,D,08037,2015,10.854,08010
304075,H,08800,2015,9.704,08800
304082,H,08370,2015,11.966,08370
304173,H,08917,2015,12.118,08912
304187,H,08739,2015,13.76,08770
304189,H,08006,2015,10.622,08006
304192,H,08029,2015,12.364,08029
304362,H,08903,2015,10.306,08014
304363,H,08190,2015,9.858,08174
304369,H,08172,2015,9.836,08034
304197,H,08520,2015,10.038,08440
304371,H,08197,2016,9.016,08034
304380,H,08034,2015,9.868,08034
304112,H,08013,2015,12.876,08006
304115,H,08023,2015,11.5,08032
304205,H,08208,2015,10.368,08201
304214,H,08034,2015,11.322,08034
304383,H,25240,2015,11.618,25337
304389,H,08755,2015,11.534,08173
304138,D,03530,2015,10.788,
304149,H,43800,2015,10.514,43800
304152,H,08028,2015,11.496,08014
303963,D,08430,2015,12.526,08430
303971,H,08036,2012,9.98,08017
303973,H,08005,2015,10.634,08010
303977,H,08028,2015,12.19,08028
303978,D,08130,2015,11.74,08130
303979,H,08030,2015,10.554,08030
303992,H,08024,2015,10.542,08023
304006,H,08028,2015,13.336,08022
304008,H,08042,2015,9.792,08030
309128,H,08028,2015,10.648,08034
308041,H,08173,2015,10.324,08173
308043,H,17300,2015,10.644,17300
308052,H,08017,2015,9.64,08017
230662,H,08193,2010,10.036,08174
230686,H,43005,2010,11.4,43005
231048,H,07013,2010,10.802,
230992,H,08914,2010,11.666,08912
229830,H,08328,2010,10.198,08021
227947,H,08303,2010,10.49,08303
227956,H,08028,2010,11.636,08029
229096,D,08940,2010,10.39,08901
226495,D,08011,2010,10.47,08007
227207,H,08034,2010,11.2,08034
227284,H,08041,2010,10.052,08041
229972,D,08700,2010,10.574,08700
228045,D,17003,2010,10.11,17003
227132,H,08034,2010,10.398,08022
229520,H,08195,2010,10.672,08035
226441,H,08840,2010,9.852,08034
228210,D,25740,2010,11.08,25740
227828,D,08038,2010,11.032,08902
227012,H,08011,2010,11.202,08009
228061,H,08021,2010,11.742,08034
226798,D,08860,2010,10.798,08850
227855,H,08022,2010,12.242,08173
227856,H,08017,2010,9.896,08173
228998,H,08004,2010,10.45,
227935,D,17007,2010,12.774,17004
227032,H,08021,2010,10.906,08017
228242,D,08020,2010,11.63,08980
227877,H,17003,2010,12.262,17005
227057,H,08018,2010,10.604,08009
230248,D,43005,2010,11.36,43005
226635,H,08902,2010,10.96,08902
227742,D,08021,2010,9.892,08022
228532,H,43203,2010,11.38,43120
227602,D,08036,2010,13.062,08029
228375,H,08820,2010,9.784,08950
227607,H,08796,2010,10.434,08029
228573,H,08034,2010,11.098,08173
228576,H,08620,2010,10.328,08620
228704,H,43500,2010,11.328,43500
228599,H,08034,2010,11.276,08034
228601,D,08036,2010,11.58,08034
227700,H,08009,2010,12.306,08010
243205,H,08025,2011,12.66,
227231,H,08025,2010,11.378,08025
228126,H,08980,2010,10.916,08980
227073,H,08197,2010,9.882,08022
227087,H,08402,2010,11.76,08402
227091,H,08905,2010,10.1,08034
229148,H,08030,2010,10.434,08027
243374,D,08022,2010,10.762,08034
246312,H,08840,2011,10.54,08840
244483,D,08700,2011,11.298,08719
245764,H,08028,2011,9.98,08017
245777,H,08021,2011,10.086,08009
243666,H,08860,2011,11.592,08034
245190,D,08017,2011,12.076,08006
244208,D,43007,2011,10.706,43003
245121,D,08017,2011,11.81,08022
244342,D,43007,2011,12.542,43110
243737,D,08017,2011,13.585,
245810,H,08506,2011,11.4,08500
245168,H,08021,2011,11.56,08022
244457,H,08717,2011,11.498,25200
245004,H,08700,2011,11.268,08719
243546,H,08034,2011,12.743,
244329,D,08776,2011,12.252,08770
232393,H,08017,2010,9.714,08017
232335,H,07760,2010,9.688,
246519,H,08850,2010,9.886,08850
246265,H,08370,2011,12.648,08370
244753,H,08027,2011,11.004,08041
245505,D,08021,2011,12.516,08034
245509,H,08029,2011,10.87,08029
244852,H,08034,2011,11.664,08021
245359,H,08022,2011,10.348,08034
244663,H,25196,2011,10.708,25002
245373,D,08022,2011,11.782,08022
245375,H,08030,2011,12.11,08030
243985,H,08912,2011,10.074,08912
244517,H,08038,2011,9.948,08902
244698,H,08173,2011,10.616,08021
245443,H,08030,2011,11.118,08030
245677,D,08172,2011,11.938,08034
244758,H,17134,2011,10.13,17257
244113,H,17003,2011,10.486,17002
245556,D,08173,2011,10.726,08010
245619,H,08028,2011,11.838,08014
245620,D,08014,2011,10.374,08014
245954,H,08960,2011,11.2,08960
247055,H,07194,2011,11.066,
247070,H,08922,2010,10.826,08030
252422,H,08027,2011,9.6,08027
252430,H,17534,2011,9.582,17500
261696,H,08028,2012,12.25,08028
261703,H,08028,2012,10.534,08014
248661,H,07240,2011,10.648,
261726,H,08860,2012,10.91,08860
248722,H,08110,2011,10.659,
248338,H,08017,2011,9.78,08017
250608,D,08035,2011,9.642,08035
250031,H,08620,2011,9.622,08620
248426,H,08006,2011,11.818,08034
259116,H,08401,2012,11.21,08440
259117,H,08459,2012,11.246,08440
260496,H,08820,2012,11.614,08034
258290,H,08028,2012,10.826,08034
260930,H,08037,2012,11.542,08021
259877,H,08035,2012,11.557,
261523,H,08849,2012,11.34,08840
259899,H,08022,2012,10.49,08173
260988,H,08027,2012,12.4,08027
258318,H,08750,2012,10.812,08750
258320,H,08018,2012,10.546,08010
259188,D,17001,2012,11.726,17006
261575,H,08025,2012,10.544,
261577,H,08014,2012,12.686,08021
259951,H,08540,2012,10.758,08540
262081,H,08005,2012,10.976,08005
261327,H,08027,2012,10.538,08027
261345,H,08398,2012,12.376,08370
261443,H,08980,2012,10.69,08980
261446,D,08014,2012,12.166,08029
261848,H,08850,2012,11.72,08850
261228,H,08027,2011,10.698,08027
261239,H,08030,2012,12.798,08030
264795,H,08401,2012,10.434,08400
264437,D,17003,2012,10.38,17003
260807,H,25006,2012,11.74,25193
259638,H,08005,2012,10.842,08005
260299,D,08290,2011,12.164,08013
259528,H,08021,2012,12.682,08034
260427,H,08720,2012,10.688,08720
260127,H,08770,2012,11.444,08770
259470,H,08018,2012,11.278,08009
259477,H,08460,2012,11.942,08460
258642,D,08172,2012,11.584,08193
260248,D,08392,2012,12.218,08392
263937,H,08190,2012,10.424,08034
260698,H,08185,2012,11.406,08181
260194,H,08173,2012,10.878,08021
275032,D,08197,2013,10.446,08006
262923,H,08035,2012,12.18,08031
262945,H,08800,2012,12.796,08800
274260,H,08021,2013,12.484,08173
263085,H,43881,2012,10.58,08770
274894,H,08172,2013,11.688,08034
274184,H,08184,2013,10.586,08140
274187,H,08034,2013,10.476,08034
262851,H,25124,2012,11.108,25196
264979,H,08018,2012,10.434,
262744,D,08302,2012,11.154,08303
262798,H,08005,2012,11.816,08005
276769,H,08027,2011,10.798,08026
276529,D,38201,2013,10.683,
276674,H,08031,2013,10.054,08031
276729,D,08011,2013,12.44,08034
275979,H,08206,2013,9.994,08206
276921,D,08904,2013,10.596,08907
276930,H,43800,2013,11.806,43800
275202,H,25222,2013,11.416,25230
275206,H,25790,2013,11.946,25280
274649,H,08185,2013,10.646,08100
275082,H,08034,2013,11.554,08034
275107,D,08700,2013,12.944,08700
276814,H,08242,2013,10.94,08241
275027,H,08401,2013,12.766,08401
275884,D,08348,2013,10.254,08301
273905,D,08028,2013,13.424,08021
274275,D,43205,2013,10.484,43205
273938,D,08205,2013,12.348,08193
274298,H,08037,2013,12.578,08023
274124,H,08029,2012,10.588,08036
275486,H,43878,2013,11.272,43570
274513,H,08198,2013,10.206,08021
276867,H,08009,2013,10.504,08035
277867,H,08011,2013,10.098,08036
277375,H,08029,2013,13.428,08034
277741,D,08370,2013,12.24,08370
277758,D,08811,2013,10.346,08800
277061,H,08038,2013,11,08009
275174,D,08172,2013,12.77,08017
276290,H,07181,2013,10.438,
278260,H,08022,2013,12.398,08022
277981,H,08173,2013,11.058,08034
278275,H,08022,2013,10.646,08022
278287,H,08017,2013,12.946,08017
278004,D,08017,2013,11.314,08035
277345,D,07181,2013,10.826,
277238,H,17230,2013,11.19,17230
277163,H,08017,2013,11.976,08022
277667,D,08480,2011,11.132,08480
278052,D,43005,2013,10.604,43005
279040,H,08006,2013,10.104,08034
277707,H,43870,2013,10.86,43870
277934,H,08402,2013,10.944,08520
277547,H,08025,2013,12.27,08025
277824,D,08022,2013,11.594,08034
279337,H,08759,2013,9.978,08759
277658,D,08028,2013,10.686,08034
292909,D,08006,2014,12.736,08034
292914,H,08912,2014,9.96,08912
292930,H,43391,2014,9.938,43850
292935,H,08014,2014,9.874,08028
289413,H,25008,2014,9.906,25008
289414,H,08023,2014,10.556,08034
289418,D,08013,2014,12.918,08010
289420,H,08820,2014,10.864,08820
289281,H,36203,2014,10.934,
289284,D,08023,2014,10.968,08022
289285,D,08032,2014,11.422,08017
289299,D,08005,2014,11.832,08009
289308,H,08017,2014,9.794,08022
289153,H,08026,2014,12.328,08022
289155,H,08006,2014,11.686,08034
289261,H,08970,2014,11.278,08970
289311,H,08001,2014,12.486,08001
289320,H,08015,2014,12.07,08006
289325,H,08021,2014,11.09,08021
289192,D,43006,2014,10.404,43003
289196,H,08025,2016,9.224,08025
289199,H,08860,2014,12.078,08850
289098,D,08461,2014,12.258,08440
289017,D,08970,2014,10.11,08950
289108,H,08506,2014,11.758,08500
289116,H,07181,2014,10.594,
289031,H,99999,2014,11.35,
289038,H,08021,2014,10.968,08034
289408,H,08006,2014,11.722,08021
289135,D,08036,2014,11.352,08036
289137,H,08022,2014,11.184,08017
289138,H,08028,2014,12.43,08034
289139,D,08017,2014,11.056,08022
289052,D,08756,2013,10.21,08757
289219,D,08034,2014,10.384,08017
289226,H,08008,2014,10.158,08008
289230,H,08013,2013,10.518,08009
289239,H,08571,2014,12.302,08570
289057,H,08901,2014,9.95,08907
289059,H,17176,2014,9.874,17800
289070,H,08029,2014,9.748,08017
289071,H,08029,2014,10.088,08029
289080,H,08901,2012,9.38,08950
289083,H,08740,2014,11.42,08740
289092,H,08021,2014,10.588,08006
289267,H,25400,2014,13.006,25400
288959,H,08034,2014,12.62,
289338,D,08017,2014,10.578,08017
289348,H,08911,2014,10.972,08912
289350,H,08770,2014,12.032,08770
289352,H,08034,2014,10.38,08034
289356,H,08023,2014,10.064,08022
289357,H,08016,2014,10.338,08030
289365,H,08021,2014,11,17005
289383,H,08006,2014,13.286,08006
289384,D,08006,2014,9.86,08022
289387,H,17005,2014,12.872,17006
289390,H,07013,2014,9.44,
289397,D,08197,2014,12.118,08022
289400,H,08330,2014,9.522,08330
289041,D,07010,2014,11.636,
294143,H,08028,2014,9.59,08034
294157,H,25003,2014,10.062,25002
304053,D,08840,2015,11.162,08840
304054,H,08026,2015,10.232,08021
304326,H,08303,2013,12.428,08303
304334,D,08041,2015,9.682,08041
304165,H,08002,2015,9.692,08028
304282,D,08017,2015,10.331,
304283,H,08690,2015,9.744,08950
304017,H,43205,2015,10.174,43205
304018,H,08340,2015,10.492,08340
304293,H,08017,2015,12.329,
304294,H,08025,2015,10.182,08025
304296,H,08017,2015,10.734,08017
304298,D,08029,2015,11.048,08029
304299,H,08173,2015,10.646,08021
304301,H,08520,2015,10.176,08530
304309,H,08960,2015,10.42,08034
304310,D,08395,2015,11.048,08370
304313,D,08870,2015,10.122,08017
304319,H,08021,2015,9.792,08022
304323,H,08034,2015,11.152,08034
304023,D,17005,2015,11.104,17006
304026,H,08020,2015,11.81,08009
304029,D,08150,2014,10.154,08100
304041,H,08034,2015,10.362,08017
304043,H,07400,2015,10.188,
304068,H,08024,2015,13.178,08034
304242,H,08034,2015,9.898,08034
304255,D,08029,2015,10.994,08017
304258,D,08029,2015,11.092,08017
304264,H,08820,2015,11.176,08820
304270,H,08690,2015,9.84,08901
304275,H,17300,2015,9.898,17300
304276,D,08850,2015,9.694,08850
304342,H,08006,2015,12.054,08017
304345,H,08130,2015,9.768,08130
304350,H,08027,2015,10.6,08027
304352,H,08005,2015,10.532,08027
304356,H,08776,2015,12.338,08770
304361,H,08918,2015,10.678,08930
304072,H,08017,2014,12.354,08022
304097,H,08906,2015,10.784,08006
304099,H,08830,2015,12.324,08830
304101,H,08035,2015,10.322,08035
304170,H,08940,2015,11.37,08970
304174,H,08700,2015,11.44,08719
304179,H,08021,2015,9.926,08034
304190,D,08023,2015,11.594,08022
304191,H,08690,2015,10.272,08830
304365,H,43005,2015,12.736,43007
304366,H,07013,2015,11.496,
304378,H,08757,2015,11.33,08950
304390,H,08840,2015,9.826,08840
304391,D,08015,2015,10.854,08029
304393,H,08004,2015,10.038,08004
304397,H,07570,2015,11.738,
304120,H,08022,2015,12.428,08022
304132,D,08008,2015,11.486,08008
304139,H,08001,2015,11.774,08001
304144,H,08009,2015,10.752,08009
304150,H,43206,2015,11.646,43120
304153,H,08850,2015,12.528,08850
304226,D,08007,2015,12.408,08034
304231,H,08290,2015,10.744,08290
304241,H,08035,2015,11.572,08035
303980,H,08021,2015,9.934,08034
303996,H,08500,2015,9.836,08500
304001,H,08172,2015,12.078,08034
304007,H,08530,2015,12.684,08530
309132,D,08006,2015,11.02,08034
308059,H,08211,2014,11.702,08211
230684,H,43781,2010,11.888,43780
227199,H,08029,2010,10.42,08017
227942,H,43003,2010,10.04,43005
227953,H,08029,2010,9.988,08029
227213,H,08912,2010,11.384,08912
228247,H,08740,2010,12.736,08960
229108,H,08950,2010,12.888,08960
228047,H,08397,2010,10.728,17003
226543,D,08401,2010,11.938,08401
227821,D,08907,2010,10.844,08907
226455,H,08700,2010,10.642,08700
227838,H,08800,2010,10.96,08800
227006,D,08038,2010,12.128,08038
227285,H,08025,2010,9.83,08041
227286,H,08035,2010,10.048,08035
227304,H,08173,2010,10.076,08017
227027,H,08755,2010,11.166,08755
227034,H,08006,2010,12.188,08017
227036,H,08037,2010,11.078,08034
227332,H,08552,2010,9.786,08500
228297,H,08820,2010,11.764,08820
228015,H,08191,2010,11.34,08174
228029,H,08180,2010,11.332,08180
229911,H,08903,2010,9.792,08034
229370,H,08016,2010,10.124,08027
228494,H,08242,2010,10.444,08240
227639,D,08029,2010,12.422,08022
230066,D,08028,2010,12.132,25111
228525,H,08030,2010,10.96,08030
227774,H,08173,2010,11.256,08034
227779,H,08922,2010,12.436,08030
229677,H,08340,2010,10.328,08340
227520,H,08905,2010,10.334,08034
227752,H,08029,2010,11.092,08034
228367,H,08173,2010,10.734,08197
227686,H,08902,2010,10.076,08014
229691,H,08012,2010,11.386,08007
227792,D,08029,2010,13.016,08036
227556,D,08031,2010,12.618,08016
230829,H,08013,2010,11.578,08009
228661,H,08029,2010,11.948,08034
227495,H,08503,2010,9.836,08500
228572,D,08034,2010,9.84,08173
228695,D,08690,2010,10.108,08830
227506,H,08902,2010,10.844,08902
228708,H,22520,2010,10.548,25111
228628,D,08025,2010,11.45,08030
227756,H,08023,2010,13.496,08034
228721,H,08029,2010,10.522,08014
228281,H,08397,2010,10.332,08370
243241,H,07620,2011,10.748,
244495,H,08780,2011,12.27,08950
245086,H,08013,2011,11.222,08024
245235,D,08017,2011,11.68,08017
244340,D,43596,2011,12.386,43110
244361,H,25006,2011,9.726,25111
245853,H,08820,2011,10.938,08950
245865,H,08732,2011,10.1,08720
231885,H,08015,2010,10.586,08001
246370,D,08034,2011,10.664,08022
245733,H,08015,2011,11.888,08036
244287,H,43500,2011,11.204,43500
245166,H,08328,2011,9.906,08916
244252,H,08015,2011,10.576,08029
245846,H,08006,2011,11.576,08173
243721,H,07013,2011,10.448,
245127,H,08028,2011,10.582,08028
244339,D,43005,2011,11.194,43110
245077,H,08028,2011,10.826,08034
232372,H,08370,2010,9.72,08370
232248,H,08036,2010,9.694,08023
232166,H,00000,2010,9.767,
246807,H,17480,2011,12.166,17480
246706,H,08902,2010,10.228,08903
246579,H,08820,2010,10.122,08021
246657,H,25600,2011,11.09,25600
246199,H,08756,2011,10.734,08757
244279,H,43007,2011,10.622,43007
244844,D,25002,2011,10.194,25002
244846,H,25310,2011,11.506,25310
246237,H,08970,2011,13.2,08980
243959,H,25617,2011,10.112,25600
243964,H,08110,2011,11.274,08110
243988,D,25006,2011,11.972,25003
244151,H,43001,2011,10.8,43003
244703,H,08012,2011,12.28,08021
246094,H,08023,2011,10.86,08017
246123,H,08302,2011,11.268,08301
244888,H,08028,2011,12.582,08021
244041,H,08011,2011,11.906,08029
245394,H,08034,2011,11.08,08034
245403,H,08034,2011,10.842,08034
245563,H,08018,2011,10.764,08010
244626,D,25600,2011,12.18,25600
244785,H,08207,2011,11.062,08207
245985,H,08017,2011,10.436,08173
245986,H,08017,2011,11.694,08173
245944,H,08750,2011,10.418,08750
245636,H,08860,2011,12.542,08034
247069,H,07230,2011,10.252,
252419,H,08034,2011,9.58,08034
254783,H,08021,2011,9.478,08173
261759,H,25006,2012,10.924,25003
250276,H,08970,2011,9.625,
261774,H,08173,2012,11.488,08172
261734,H,08770,2012,12.686,43206
261058,H,08980,2012,11.48,08980
248551,H,08022,2011,11.72,08017
250608,D,08035,2011,9.142,08035
259125,H,08018,2012,11.05,08018
259414,H,08530,2012,11.316,08530
260539,D,08022,2012,13.072,08034
260541,H,08840,2012,12.628,08840
258260,H,08339,2012,11.076,08339
259981,H,08172,2012,12.106,08173
261509,H,08011,2012,11.66,08023
259037,H,08009,2012,10.514,08010
259789,D,08014,2012,12.378,08021
258438,H,25400,2012,11.33,25400
259874,H,08329,2012,11.39,08390
261549,D,08029,2012,11.114,08029
258205,D,08251,2012,10.796,08242
258222,H,08028,2012,10.838,
259084,H,08173,2012,10.786,08017
259232,H,08023,2012,11.776,08022
259671,H,08640,2012,11.386,08640
259886,H,07014,2012,12.508,
259357,H,08196,2012,10.9,08023
258323,D,08034,2012,11.84,08017
260600,H,17820,2012,11.31,17820
260466,H,08023,2012,10.86,08035
262287,H,07750,2011,9.28,
